subject_ID,lemma,gender,age,education,grade,error
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,17,technical,Gr3,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,0
571,worden,female,16,technical,Gr2,1
571,worden,female,16,technical,Gr2,1
575,worden,female,16,technical,Gr2,0
578,worden,male,17,general,Gr3,0
592,worden,male,16,technical,Gr2,0
619,worden,female,16,technical,Gr2,0
622,worden,female,17,general,Gr3,0
622,worden,female,17,general,Gr3,0
623,worden,female,18,general,Gr3,0
623,worden,female,17,general,Gr3,0
623,worden,female,17,general,Gr3,0
623,worden,female,17,general,Gr3,0
624,worden,female,18,general,Gr3,0
624,worden,female,18,general,Gr3,0
624,worden,female,17,general,Gr3,0
624,worden,female,18,general,Gr3,0
624,worden,female,17,general,Gr3,0
624,worden,female,17,general,Gr3,0
625,worden,female,17,general,Gr3,0
625,worden,female,15,general,Gr2,0
625,worden,female,17,general,Gr3,0
625,worden,female,17,general,Gr3,0
625,worden,female,16,general,Gr2,0
625,worden,female,16,general,Gr2,0
625,worden,female,16,general,Gr2,0
625,worden,female,15,general,Gr2,0
625,worden,female,17,general,Gr3,0
625,worden,female,16,general,Gr2,0
625,worden,female,18,general,Gr3,0
625,worden,female,17,general,Gr3,0
625,worden,female,17,general,Gr3,0
625,worden,female,16,general,Gr2,0
625,worden,female,18,general,Gr3,0
625,worden,female,15,general,Gr2,0
625,worden,female,16,general,Gr2,1
625,worden,female,17,general,Gr3,1
625,worden,female,16,general,Gr2,1
625,worden,female,17,general,Gr3,1
626,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,18,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,18,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,16,general,Gr2,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,18,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
627,worden,female,16,general,Gr2,0
627,worden,female,17,general,Gr3,0
627,worden,female,16,general,Gr2,0
627,worden,female,17,general,Gr3,0
627,worden,female,16,general,Gr2,0
627,worden,female,17,general,Gr3,0
627,worden,female,17,general,Gr3,0
628,worden,female,17,general,Gr3,0
628,worden,female,17,general,Gr3,0
628,worden,female,17,general,Gr3,0
628,worden,female,17,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,17,general,Gr3,0
629,worden,female,17,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,17,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,18,general,Gr3,0
629,worden,female,17,general,Gr3,0
629,worden,female,18,general,Gr3,1
629,worden,female,18,general,Gr3,1
629,worden,female,18,general,Gr3,1
629,worden,female,18,general,Gr3,1
630,worden,male,18,technical,Gr3,0
630,worden,male,18,technical,Gr3,0
630,worden,male,18,technical,Gr3,0
630,worden,male,18,technical,Gr3,0
630,worden,male,18,technical,Gr3,0
635,worden,female,16,technical,Gr2,0
636,worden,female,18,general,Gr3,0
637,worden,female,17,technical,Gr3,0
640,worden,female,18,general,Gr3,0
640,worden,female,18,general,Gr3,0
640,worden,female,18,general,Gr3,0
640,worden,female,17,general,Gr3,0
673,worden,female,15,general,Gr2,0
673,worden,female,15,general,Gr2,0
673,worden,female,15,general,Gr2,1
677,worden,female,15,vocational,Gr2,1
683,worden,female,20,vocational,Gr3,0
726,worden,female,18,general,Gr3,0
737,worden,female,16,technical,Gr2,0
742,worden,male,18,vocational,Gr3,0
742,worden,male,18,vocational,Gr3,0
742,worden,male,18,vocational,Gr3,0
742,worden,male,18,vocational,Gr3,0
742,worden,male,18,vocational,Gr3,1
742,worden,male,18,vocational,Gr3,1
742,worden,male,18,vocational,Gr3,1
742,worden,male,18,vocational,Gr3,1
764,worden,female,15,vocational,Gr2,0
767,worden,female,16,vocational,Gr2,0
767,worden,female,17,vocational,Gr3,0
767,worden,female,16,vocational,Gr2,0
767,worden,female,17,vocational,Gr3,0
767,worden,female,16,vocational,Gr2,1
768,worden,female,17,vocational,Gr3,0
768,worden,female,17,vocational,Gr3,0
768,worden,female,17,vocational,Gr3,1
769,worden,female,16,vocational,Gr2,0
